SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
709537,91,0,8.75286355,-17.9635,-18.2582,-18.4302,-18.5625,0.2947,0.4667,1.2213,42.5842,0.0157168,-0.724967985,8.484309789
709578,91,0,8.619450115,-17.2278,-17.598,-17.7993,-17.9458,0.3702,0.5715,0.8383,44.5587,0.0147912,-1.244900015,7.628351294
709618,91,0,9.529982912,-18.4119,-19.0488,-19.3656,-19.5919,0.6369,0.9537,2.0784,56.4341,0.0231579,-1.088666918,8.502177727
709621,91,0,9.036916832,-18.1078,-18.5049,-18.7216,-18.8809,0.3971,0.6138,1.3269,46.5271,0.01746,-0.778656896,7.649063453
709961,91,0,8.625718203,-18.085,-18.4489,-18.6449,-18.7857,0.3639,0.5599,0.5229,40.6894,0.0156882,-0.833789836,7.547447768
710180,91,0,8.629857249,-17.9451,-18.2535,-18.4333,-18.5694,0.3084,0.4882,0.9521,43.1677,0.0147158,-0.691824906,7.9247292
710323,91,0,8.729551681,-17.4738,-17.8071,-17.9911,-18.1299,0.3333,0.5173,0.4,40.2331,0.0209204,-0.949225443,7.686580993
710355,91,0,8.548424057,-18.122,-18.3365,-18.4686,-18.5689,0.2145,0.3466,0.8428,43.7321,0.0116854,-0.562188605,8.35579454
710562,91,0,8.451504977,-17.3045,-17.6656,-17.8584,-17.9952,0.3611,0.5539,0.6404,46.6256,0.013613,-1.161256645,7.350291664
710621,91,0,8.795443837,-17.6766,-18.0231,-18.2314,-18.39,0.3465,0.5548,1.0612,47.3136,0.0163227,-0.817235978,8.240289355
710759,91,0,8.308151822,-16.9153,-17.3898,-17.6224,-17.778,0.4745,0.7071,0.7077,42.7129,0.0114752,-1.504155187,7.978890679
710823,91,0,8.336206166,-17.5659,-17.8691,-18.0338,-18.1465,0.3032,0.4679,0.6502,43.2714,0.0104814,-1.06547583,8.182049594
710846,91,0,8.55196403,-17.7696,-18.0434,-18.2047,-18.3263,0.2738,0.4351,0.918,42.6757,0.0135796,-0.81071483,7.475251043
710997,91,0,8.441808505,-17.9954,-18.2792,-18.4375,-18.5511,0.2838,0.4421,0.8484,40.8514,0.0110005,-0.733647249,8.151206845
711281,91,0,8.634582276,-17.4975,-17.8681,-18.0712,-18.2177,0.3706,0.5737,0.8301,43.1982,0.014249,-1.145150677,7.644335926
711418,91,0,8.501754835,-18.0089,-18.3304,-18.5076,-18.6378,0.3215,0.4987,0.8527,43.5582,0.0128589,-0.770170374,7.279547208
711706,91,0,8.548895309,-17.2502,-17.6977,-17.9242,-18.0797,0.4475,0.674,0.5103,43.251,0.0163553,-1.301158809,7.625810123
711740,91,0,8.410477111,-17.7065,-18.0499,-18.2377,-18.3689,0.3434,0.5312,0.8306,40.853,0.0121776,-0.969511124,7.872407734
711795,91,0,9.452770334,-17.9687,-18.593,-18.9069,-19.1334,0.6243,0.9382,1.3457,53.0206,0.0223314,-1.240881526,8.400817435
711848,91,0,8.493663613,-18.1499,-18.3885,-18.5264,-18.6278,0.2386,0.3765,0.3995,42.2946,0.0121187,-0.579479569,7.909045562
711882,91,0,8.261208414,-17.1667,-17.6123,-17.8393,-17.9889,0.4456,0.6726,0.4697,39.8736,0.0107815,-1.438380052,7.639036031
711992,91,0,8.597888774,-17.6647,-17.9311,-18.0936,-18.2173,0.2664,0.4289,0.9615,38.1644,0.0149908,-0.760704854,7.73186321
712072,91,0,9.714575741,-19.094,-19.5545,-19.8091,-20.0068,0.4605,0.7151,1.8784,57.9399,0.0323815,-0.375160148,9.049538939
712323,91,0,8.521433825,-16.9203,-17.2879,-17.4977,-17.6493,0.3676,0.5774,0.7161,42.1777,0.0144863,-1.207323675,7.210328306
712423,91,0,8.531750365,-17.7376,-18.1257,-18.3339,-18.4805,0.3881,0.5963,0.6608,46.2913,0.0128846,-1.00558166,7.99721934
712785,91,0,8.1436665,-17.4781,-17.7941,-17.9649,-18.0832,0.316,0.4868,0.4341,43.1018,0.0105888,-1.071821488,7.442728789
712805,91,0,8.896769254,-18.7207,-18.9348,-19.0706,-19.1779,0.2141,0.3499,1.0974,44.3549,0.0162534,-0.380815292,7.950928399
712831,91,0,8.505294206,-18.1095,-18.4288,-18.6043,-18.729,0.3193,0.4948,0.6785,42.9823,0.0120463,-0.745269879,7.548464904
712859,91,0,8.78668982,-17.7159,-18.0287,-18.2152,-18.3594,0.3128,0.4993,0.8562,42.1725,0.0186957,-0.88771785,7.604339771
713002,91,0,8.772136696,-17.6028,-17.9872,-18.2008,-18.3545,0.3844,0.598,0.7397,43.5486,0.0178273,-0.932604148,8.468367075
713152,91,0,8.716892603,-17.6652,-18.0744,-18.2854,-18.4326,0.4092,0.6202,0.5047,42.1062,0.0169843,-1.098655553,8.159777131
713186,91,0,8.471204198,-17.4314,-17.7777,-17.969,-18.1029,0.3463,0.5376,0.6321,42.0155,0.0132067,-0.960920254,8.058118924
713322,91,0,8.313729015,-17.3198,-17.697,-17.898,-18.0386,0.3772,0.5782,0.6106,43.3927,0.012422,-1.047663757,7.543039354
713362,91,0,8.860245145,-18.433,-18.7155,-18.8739,-18.9946,0.2825,0.4409,1.4579,41.1339,0.0151398,-0.521185762,8.064421625
713414,91,0,8.771269082,-17.9295,-18.3155,-18.5303,-18.6913,0.386,0.6008,1.1288,43.5027,0.0171108,-0.795626225,7.903623189
713663,91,0,8.727935355,-17.6857,-17.981,-18.1562,-18.2894,0.2953,0.4705,0.9503,41.3672,0.015651,-0.782080766,7.901570092
713809,91,0,8.353704289,-17.4032,-17.7149,-17.8902,-18.0145,0.3117,0.487,0.579,42.777,0.011605,-1.008567559,7.640090229
713837,91,0,8.604712521,-17.7763,-18.1696,-18.3787,-18.5285,0.3933,0.6024,0.7764,44.5645,0.0134601,-0.938349216,8.215515185
714106,91,0,8.676349293,-17.5674,-17.9369,-18.1372,-18.2832,0.3695,0.5698,0.9216,42.1086,0.0153336,-1.011900961,7.943574109
714163,91,0,8.568135874,-18.2156,-18.4764,-18.6229,-18.732,0.2608,0.4073,0.4625,42.9852,0.0147488,-0.658010774,7.654785093
