SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
414672,91,0,0.8224845745211595,-0.04216328064966623,-0.22788299042879245,-0.30256135228575753,-0.3525274979749119,1.9813697575489704,1.9830069166642972,0.11577424342651874,0.46706864594381176,0.5746192895349072,-1.1701968071877848,0.574774239503588
414673,91,0,0.14734749432084762,-0.09666308418270943,-0.07968395467636344,-0.0721042453557007,-0.06882184147200897,-0.16889209867346425,-0.17003010353805414,-0.5673459399795641,-0.3425018438766857,0.8458260725776939,0.001373455216656928,0.756881088900881
416934,91,0,-0.0039386728359354466,-0.28688354247934866,-0.22771789681302707,-0.2043694248172127,-0.18848915630024776,-0.5946111535410326,-0.5776739820992898,-0.2040273976525827,0.15606426068316576,-0.30999291294324105,0.5044731755413812,-0.2366406972824847
416935,91,0,-0.3865402237732503,0.09617381003431068,0.15348326199019405,0.1762603694109135,0.1905738706253384,-0.6215479850732307,-0.6239314434963096,-0.5120197802419514,-0.42483008364175023,-0.22206604980054243,0.06799247791635145,-0.14240881726912674
416937,91,0,-0.2928305785810597,1.2232453343754772,1.0061917874205226,0.9137339976100952,0.8494701735290461,2.1605582455675063,2.142016940216553,-0.4821722038393299,-0.9305911240472423,0.23072167157734833,-0.3238886969214921,-0.2944876785116077
418098,91,0,0.11548392084507463,0.9040958209383578,0.6952104465230202,0.6112114184137664,0.5481236724132622,2.1125404154448923,2.0697396567837094,-0.5682976018358795,-0.8990356333379458,3.045139439831306,-0.3238886969214921,-0.30137276667464746
418839,91,0,0.0465454138119273,0.09567279038998357,0.1280588451622603,0.1276542767116845,0.12151641793344548,-0.35627875281049576,-0.2588279088984047,-0.23543223891099305,-0.31466983008010585,0.1104136812955609,0.12876143534161275,0.13772362990974757
419990,91,0,0.03251306219855357,-0.08252319644277711,-0.07247486678792489,-0.055720780739274375,-0.050374250916463796,-0.09686535348954296,-0.18944171680287503,-0.41014870425909133,-0.9457654460699917,2.6825256217304494,-0.4211331546450638,0.45361452621247716
421237,91,0,1.0626017822824505,-0.8939523448571219,-0.8941457924542842,-0.9030343810180165,-0.9156899490160301,0.11101671594372636,0.21985421395111115,0.262113882513574,0.5881047176756795,1.0097595249797313,0.9797002756361437,0.608340823053738
422709,91,0,0.7050603871833203,-0.2847681262032949,-0.3307913442561385,-0.3563383059104381,-0.37560043193505294,0.5244385216335518,0.5911529442718317,0.09877410208415616,0.09826340458528225,0.4766081487161706,0.1857942638060717,0.31909225935064556
